age,sex,education,race,hispanic,enrolled,full_time,school_level,labor_status,weight,usual_hours,female,race_group,employed,college_enrolled
24,1,39,1,0,0,-1,NA,4,34142616,NA,0,White,0,0
20,2,40,1,0,1,1,College,1,27470771,30,1,White,1,1
19,1,39,1,0,0,-1,NA,1,28841199,10,0,White,1,0
23,2,39,1,0,0,-1,NA,1,28202800,35,1,White,1,0
19,1,39,1,0,0,-1,NA,1,26095213,40,0,White,1,0
20,2,40,2,0,1,1,College,7,34524698,NA,1,Black,0,1
19,2,39,2,0,0,-1,NA,7,24875507,NA,1,Black,0,0
23,1,39,1,0,0,-1,NA,1,23180094,40,0,White,1,0
20,1,35,2,0,0,-1,NA,1,45062554,25,0,Black,1,0
21,1,40,2,0,1,1,College,1,45062554,25,0,Black,1,1
22,2,40,6,0,1,1,College,1,32986685,35,1,Other,1,1
19,1,39,1,0,0,-1,NA,1,24351250,60,0,White,1,0
19,2,40,2,0,1,1,College,1,36795359,16,1,Black,1,1
18,2,37,2,0,1,1,High school,7,36795359,NA,1,Black,0,0
21,2,40,1,1,1,1,College,1,34805034,12,1,White,1,1
22,1,40,1,1,1,1,College,1,31508043,28,0,White,1,1
18,1,39,1,1,1,1,College,1,41107305,10,0,White,1,1
23,2,43,1,0,0,-1,NA,1,42867685,40,1,White,1,0
23,2,39,6,1,0,-1,NA,7,14655306,NA,1,Other,0,0
19,1,39,6,1,0,-1,NA,1,12433878,40,0,Other,1,0
19,2,39,1,1,0,-1,NA,4,10836337,NA,1,White,0,0
19,2,40,1,0,1,1,College,7,8053954,NA,1,White,0,1
18,1,37,1,0,1,1,High school,7,9571734,NA,0,White,0,0
18,1,39,1,0,1,1,High school,1,8568378,20,0,White,1,0
22,1,39,1,1,0,-1,NA,1,8095949,40,0,White,1,0
22,2,39,1,1,0,-1,NA,2,7210259,40,1,White,1,0
20,2,43,1,0,1,1,College,1,10196085,40,1,White,1,1
23,1,44,1,0,0,-1,NA,1,3758002,40,0,White,1,0
20,2,40,1,0,1,1,College,7,4689816,NA,1,White,0,1
19,2,38,3,0,0,-1,NA,7,4467618,NA,1,Other,0,0
19,1,40,1,0,1,1,College,7,3500678,NA,0,White,0,1
23,1,39,1,0,1,1,College,7,3578511,NA,0,White,0,1
22,1,39,1,0,1,1,College,7,3578511,NA,0,White,0,1
20,1,39,2,0,0,-1,NA,7,6790095,NA,0,Black,0,0
23,2,43,2,0,0,-1,NA,1,5950126,40,1,Black,1,0
24,1,43,1,0,0,-1,NA,1,5533170,40,0,White,1,0
20,2,39,1,0,1,1,College,1,5417964,16,1,White,1,1
21,2,39,1,1,1,1,College,3,5364129,NA,1,White,0,1
20,2,39,1,0,1,1,College,7,5417964,NA,1,White,0,1
22,2,43,4,0,0,-1,NA,7,5652992,NA,1,Asian,0,0
23,1,43,1,1,1,2,College,1,3386557,40,0,White,1,1
23,1,40,2,0,0,-1,NA,1,56653725,40,0,Black,1,0
22,2,43,1,0,0,-1,NA,1,57329584,30,1,White,1,0
18,2,37,1,0,1,1,High school,1,63100843,15,1,White,1,0
20,2,40,2,0,1,1,College,1,71056947,20,1,Black,1,1
20,2,39,2,0,1,1,College,7,71056947,NA,1,Black,0,1
18,2,37,2,0,1,1,High school,7,100745216,NA,1,Black,0,0
24,2,43,2,0,1,2,College,1,78849459,40,1,Black,1,1
24,2,43,1,0,0,-1,NA,1,58406289,40,1,White,1,0
18,2,37,2,0,1,1,High school,7,64489905,NA,1,Black,0,0
21,1,39,1,0,0,-1,NA,1,54784237,40,0,White,1,0
21,2,39,1,0,0,-1,NA,1,55358163,40,1,White,1,0
20,1,39,1,0,1,1,College,7,53550691,NA,0,White,0,1
